guess,mean q(g),var q(g)
decor,128.55555555555554,33906.49673202615
decoy,154.26666666666668,40630.35238095238
decry,128.55555555555554,33015.320261437904
defer,128.55555555555554,43032.37908496732
deign,144.625,38133.583333333336
deity,144.625,32213.316666666666
delay,128.55555555555554,29685.320261437908
delta,136.11764705882354,36478.23529411764
delve,154.26666666666668,49060.9238095238
demon,144.625,45300.65
demur,144.625,42949.85
denim,154.26666666666668,45243.20952380951
dense,144.625,38619.583333333336
depot,154.26666666666668,37932.49523809524
depth,136.11764705882354,43317.48529411765
derby,128.55555555555554,33626.84967320261
deter,154.26666666666668,38078.20952380953
detox,165.28571428571428,50072.68131868133
deuce,165.28571428571428,47414.83516483517
devil,136.11764705882354,40599.36029411765
diary,128.55555555555554,32079.43790849673
dicey,165.28571428571428,38614.52747252747
digit,178.0,70994.16666666667
dilly,154.26666666666668,61041.49523809524
dimly,144.625,50862.78333333333
diner,128.55555555555554,30612.2614379085
dingo,136.11764705882354,50177.23529411764
dingy,128.55555555555554,48939.08496732026
diode,165.28571428571428,41077.758241758245
dirge,128.55555555555554,28955.437908496737
dirty,154.26666666666668,39574.63809523809
disco,178.0,55396.0
ditch,144.625,51484.78333333333
ditto,144.625,55422.916666666664
ditty,154.26666666666668,59063.638095238086
diver,115.7,33941.90526315789
dizzy,192.83333333333334,114640.15151515148
dodge,154.26666666666668,45759.35238095238
dodgy,165.28571428571428,78529.45054945056
dogma,136.11764705882354,51959.36029411765
doing,136.11764705882354,41688.61029411765
dolly,144.625,54711.71666666667
donor,154.26666666666668,49588.49523809523
donut,154.26666666666668,42767.20952380953
dopey,154.26666666666668,35789.780952380956
doubt,154.26666666666668,49138.92380952381
dough,154.26666666666668,58912.9238095238
dowdy,144.625,77833.58333333333
dowel,144.625,37233.583333333336
downy,136.11764705882354,51099.73529411765
dowry,128.55555555555554,42271.90849673202
dozen,165.28571428571428,44849.912087912104
draft,144.625,34417.85
drain,136.11764705882354,33672.98529411764
drake,136.11764705882354,24590.985294117647
drama,144.625,47849.05
drank,144.625,38588.38333333333
drape,136.11764705882354,23045.485294117647
drawl,136.11764705882354,37504.98529411764
drawn,136.11764705882354,40093.23529411765
dread,136.11764705882354,32973.23529411764
dream,121.78947368421052,30439.730994152047
dress,154.26666666666668,41434.066666666666
dried,128.55555555555554,33035.67320261437
drier,128.55555555555554,31478.26143790849
drift,154.26666666666668,41256.78095238095
drill,165.28571428571428,50093.29670329671
drink,154.26666666666668,45382.20952380953
drive,121.78947368421052,26854.84210526316
droit,144.625,32251.183333333334
droll,144.625,43216.78333333333
drone,128.55555555555554,21724.143790849674
drool,144.625,45023.05
droop,154.26666666666668,54878.9238095238
dross,154.26666666666668,49216.638095238086
drove,121.78947368421052,25831.508771929828
drown,144.625,46958.11666666667
druid,165.28571428571428,57388.06593406593
drunk,165.28571428571428,54637.142857142855
dryer,144.625,42449.98333333333
dryly,165.28571428571428,58216.68131868132
duchy,178.0,70175.0
dully,165.28571428571428,72314.52747252748
dummy,154.26666666666668,92349.78095238096
dumpy,128.55555555555554,63683.55555555556
dunce,136.11764705882354,34625.86029411764
dusky,154.26666666666668,63968.35238095237
dusty,144.625,46444.51666666667
dutch,144.625,55710.916666666664
duvet,165.28571428571428,41222.98901098901
dwarf,144.625,50757.85
dwell,165.28571428571428,60004.98901098902
dwelt,136.11764705882354,41354.11029411765
dying,136.11764705882354,56159.48529411764
eager,136.11764705882354,32347.110294117647
eagle,144.625,33312.38333333333
early,136.11764705882354,25527.735294117647
earth,136.11764705882354,29676.36029411765
easel,144.625,30599.583333333332
eaten,144.625,34113.45
eater,136.11764705882354,28809.860294117647
ebony,154.26666666666668,40669.49523809524
eclat,144.625,39168.65
edict,154.26666666666668,40112.638095238086
edify,178.0,49632.166666666664
eerie,178.0,42572.5
egret,165.28571428571428,41774.065934065926
eight,128.55555555555554,42918.026143790856
eject,165.28571428571428,64016.989010989004
eking,154.26666666666668,54087.209523809535
elate,144.625,26979.716666666667
elbow,144.625,51651.98333333333
